[2025-03-18 11:35:46] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:35:45, systemid=1, alt=-0.042, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=0.0, ground_speed=0.0, wind_vel=0.0, airspeed=0.0, roll=0.0, pitch=0.0, yaw=0.0, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:16] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:16, systemid=1, alt=-0.013, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=0.00629021, ground_speed=0.031404667, wind_vel=0.0, airspeed=0.9001011, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:17] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:17, systemid=1, alt=-0.036, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=5.518529E-4, ground_speed=0.03140898, wind_vel=0.0, airspeed=0.88637847, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:18] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:18, systemid=1, alt=-0.042, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.0025256632, ground_speed=0.031109946, wind_vel=0.0, airspeed=0.39806783, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:19] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:19, systemid=1, alt=-0.047, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.0036467032, ground_speed=0.030786218, wind_vel=0.0, airspeed=0.22061652, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:20] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:20, systemid=1, alt=-0.047, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.0042341137, ground_speed=0.030911466, wind_vel=0.0, airspeed=0.49286464, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:21] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:21, systemid=1, alt=-0.035, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.0032778548, ground_speed=0.030916175, wind_vel=0.0, airspeed=0.50220746, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:22] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:22, systemid=1, alt=-0.051, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.012402555, ground_speed=0.03118866, wind_vel=0.0, airspeed=0.8584278, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:23] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:23, systemid=1, alt=-0.085, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.0150817875, ground_speed=0.03142012, wind_vel=0.0, airspeed=0.8122748, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:24] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:24, systemid=1, alt=-0.106, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.016483001, ground_speed=0.03170727, wind_vel=0.0, airspeed=0.6994095, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:25] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:25, systemid=1, alt=-0.138, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.018890115, ground_speed=0.031825237, wind_vel=0.0, airspeed=0.96248305, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:26] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:26, systemid=1, alt=-0.157, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.018031064, ground_speed=0.03173601, wind_vel=0.0, airspeed=0.48039535, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:27] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:27, systemid=1, alt=-0.145, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.017186191, ground_speed=0.031826615, wind_vel=0.0, airspeed=0.5858297, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:28] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:28, systemid=1, alt=-0.003, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.014717425, ground_speed=0.031695236, wind_vel=0.0, airspeed=0.6168045, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:29] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:29, systemid=1, alt=0.0, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.011563205, ground_speed=0.031552136, wind_vel=0.0, airspeed=0.81646854, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:30] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:30, systemid=1, alt=-0.007, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.00893693, ground_speed=0.03126401, wind_vel=0.0, airspeed=0.818367, roll=0.08, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:31] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:31, systemid=1, alt=0.0, dist_traveled=null, wp_dist=0, dist_to_home=0.06733470411585789, vertical_speed=-0.005677698, ground_speed=0.031027934, wind_vel=0.0, airspeed=0.6601372, roll=0.07, pitch=0.07, yaw=3.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766967, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:32] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:32, systemid=1, alt=0.016, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.0018887507, ground_speed=0.030406455, wind_vel=0.0, airspeed=0.541643, roll=0.07, pitch=0.06, yaw=3.84, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:33] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:33, systemid=1, alt=0.001, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.003201782, ground_speed=0.029146438, wind_vel=0.0, airspeed=0.29711422, roll=0.07, pitch=0.06, yaw=3.84, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:34] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:34, systemid=1, alt=-0.024, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.007380666, ground_speed=0.027483182, wind_vel=0.0, airspeed=0.96307164, roll=0.06, pitch=0.05, yaw=3.83, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:35] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:35, systemid=1, alt=-0.058, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.01001986, ground_speed=0.025321653, wind_vel=0.0, airspeed=0.79583234, roll=0.06, pitch=0.05, yaw=3.82, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:36] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:36, systemid=1, alt=-0.087, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.013001795, ground_speed=0.022669712, wind_vel=0.0, airspeed=0.24265137, roll=0.05, pitch=0.04, yaw=3.82, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:37] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:37, systemid=1, alt=-0.118, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.014720783, ground_speed=0.019605786, wind_vel=0.0, airspeed=1.1981354, roll=0.05, pitch=0.03, yaw=3.80, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:38] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:38, systemid=1, alt=-0.127, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.012931041, ground_speed=0.016506445, wind_vel=0.0, airspeed=0.10741001, roll=0.04, pitch=0.03, yaw=3.79, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:39] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:39, systemid=1, alt=-0.125, dist_traveled=null, wp_dist=0, dist_to_home=0.07836659314247994, vertical_speed=-0.013609164, ground_speed=0.013641651, wind_vel=0.0, airspeed=0.59029514, roll=0.03, pitch=0.02, yaw=3.78, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921086, ch3out=1000}
[2025-03-18 11:36:40] {GCS_IP=192.168.1.4, timestamp=2025-03-18 11:36:40, systemid=1, alt=0.001, dist_traveled=null, wp_dist=0, dist_to_home=0.07783644877070796, vertical_speed=-0.010455776, ground_speed=0.010536514, wind_vel=0.0, airspeed=0.5669326, roll=0.02, pitch=0.01, yaw=3.76, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766968, lon=129.0921085, ch3out=1000}
